item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The room is	15.409530288931576	
1	sentence	2	small	6.805515846263752	
1	sentence	3		0.0	
1	sentence	4	, but not	20.11210350626861	
1	sentence	5	good	12.480606238740746	
1	sentence	6	.	6.101310868526672	
2	sentence	1	The room is	15.409530288931576	
2	sentence	2	small	6.805515846263752	
2	sentence	3		0.0	
2	sentence	4	, but not	20.11210350626861	
2	sentence	5	little	14.911576881102926	
2	sentence	6	.	3.46932449607893	
3	sentence	1	The room is	15.409530288931576	
3	sentence	2	small	6.805515846263752	
3	sentence	3		0.0	
3	sentence	4	, but not	20.11210350626861	
3	sentence	5	other	14.232726961617248	
3	sentence	6	.	10.816431252140054	
4	sentence	1	The room is	15.409530288931576	
4	sentence	2	small	6.805515846263752	
4	sentence	3		0.0	
4	sentence	4	, but not	20.11210350626861	
4	sentence	5	great	9.581523586231727	
4	sentence	6	.	4.343207213191955	
5	sentence	1	The room is	15.409530288931576	
5	sentence	2	small	6.805515846263752	
5	sentence	3		0.0	
5	sentence	4	, but not	20.11210350626861	
5	sentence	5	last	14.23909995072762	
5	sentence	6	.	9.81422505594695	
6	sentence	1	The room is	15.409530288931576	
6	sentence	2	small	6.805515846263752	
6	sentence	3		0.0	
6	sentence	4	, but not	20.11210350626861	
6	sentence	5	new	13.672894539973461	
6	sentence	6	.	5.2456851416986385	
7	sentence	1	The room is	15.409530288931576	
7	sentence	2	small	6.805515846263752	
7	sentence	3		0.0	
7	sentence	4	, but not	20.11210350626861	
7	sentence	5	old	12.213006737443044	
7	sentence	6	.	5.425538062630231	
8	sentence	1	The room is	15.409530288931576	
8	sentence	2	small	6.805515846263752	
8	sentence	3		0.0	
8	sentence	4	, but not	20.11210350626861	
8	sentence	5	big	6.151336494079042	
8	sentence	6	.	4.840865842757027	
9	sentence	1	The room is	15.409530288931576	
9	sentence	2	small	6.805515846263752	
9	sentence	3		0.0	
9	sentence	4	, but not	20.11210350626861	
9	sentence	5	nice	13.466823551848437	
9	sentence	6	.	4.119112787221811	
10	sentence	1	The room is	15.409530288931576	
10	sentence	2	small	6.805515846263752	
10	sentence	3		0.0	
10	sentence	4	, but not	20.11210350626861	
10	sentence	5	wrong	13.791581831125695	
10	sentence	6	.	5.185028924531136	
11	sentence	1	The room is	15.409530288931576	
11	sentence	2	small	6.805515846263752	
11	sentence	3		0.0	
11	sentence	4	, but not	20.11210350626861	
11	sentence	5	bad	7.138467379028115	
11	sentence	6	.	5.670783946899389	
12	sentence	1	The room is	15.409530288931576	
12	sentence	2	small	6.805515846263752	
12	sentence	3		0.0	
12	sentence	4	, but not	20.11210350626861	
12	sentence	5	same	19.015836902630923	
12	sentence	6	.	7.796899518203361	
13	sentence	1	The room is	15.409530288931576	
13	sentence	2	small	6.805515846263752	
13	sentence	3		0.0	
13	sentence	4	, but not	20.11210350626861	
13	sentence	5	next	15.511947677346887	
13	sentence	6	.	15.531736689085765	
14	sentence	1	The room is	15.409530288931576	
14	sentence	2	small	6.805515846263752	
14	sentence	3		0.0	
14	sentence	4	, but not	20.11210350626861	
14	sentence	5	dead	11.997183645083496	
14	sentence	6	.	4.010991078242681	
15	sentence	1	The room is	15.409530288931576	
15	sentence	2	small	6.805515846263752	
15	sentence	3		0.0	
15	sentence	4	, but not	20.11210350626861	
15	sentence	5	many	10.165152903310098	
15	sentence	6	.	9.124972937806486	
16	sentence	1	The room is	15.409530288931576	
16	sentence	2	small	6.805515846263752	
16	sentence	3		0.0	
16	sentence	4	, but not	20.11210350626861	
16	sentence	5	real	15.122545935124522	
16	sentence	6	.	4.72753202756085	
17	sentence	1	The room is	15.409530288931576	
17	sentence	2	small	6.805515846263752	
17	sentence	3		0.0	
17	sentence	4	, but not	20.11210350626861	
17	sentence	5	live	15.98843593052135	
17	sentence	6	.	5.269217871781499	
18	sentence	1	The room is	15.409530288931576	
18	sentence	2	small	6.805515846263752	
18	sentence	3		0.0	
18	sentence	4	, but not	20.11210350626861	
18	sentence	5	ready	13.858910975146674	
18	sentence	6	.	7.056859547401903	
19	sentence	1	The room is	15.409530288931576	
19	sentence	2	small	6.805515846263752	
19	sentence	3		0.0	
19	sentence	4	, but not	20.11210350626861	
19	sentence	5	happy	15.44072209438796	
19	sentence	6	.	5.103085038805137	
20	sentence	1	The room is	15.409530288931576	
20	sentence	2	small	6.805515846263752	
20	sentence	3		0.0	
20	sentence	4	, but not	20.11210350626861	
20	sentence	5	whole	13.02428054637067	
20	sentence	6	.	3.5201704788759156	
21	sentence	1	The room is	15.409530288931576	
21	sentence	2	small	6.805515846263752	
21	sentence	3		0.0	
21	sentence	4	, but not	20.11210350626861	
21	sentence	5	hard	10.02121580728879	
21	sentence	6	.	5.289106633457877	
22	sentence	1	The room is	15.409530288931576	
22	sentence	2	small	6.805515846263752	
22	sentence	3		0.0	
22	sentence	4	, but not	20.11210350626861	
22	sentence	5	open	12.365892434754047	
22	sentence	6	.	5.092892315019102	
23	sentence	1	The room is	15.409530288931576	
23	sentence	2	small	6.805515846263752	
23	sentence	3		0.0	
23	sentence	4	, but not	20.11210350626861	
23	sentence	5	few	15.559739592229851	
23	sentence	6	.	4.18666929230723	
24	sentence	1	The room is	15.409530288931576	
24	sentence	2	small	6.805515846263752	
24	sentence	3		0.0	
24	sentence	4	, but not	20.11210350626861	
24	sentence	5	true	16.50796112224772	
24	sentence	6	.	4.490207664190432	
25	sentence	1	The room is	15.409530288931576	
25	sentence	2	small	6.805515846263752	
25	sentence	3		0.0	
25	sentence	4	, but not	20.11210350626861	
25	sentence	5	young	16.51842867430984	
25	sentence	6	.	3.9343373788572227	
26	sentence	1	The room is	15.409530288931576	
26	sentence	2	small	6.805515846263752	
26	sentence	3		0.0	
26	sentence	4	, but not	20.11210350626861	
26	sentence	5	second	14.947690486061703	
26	sentence	6	.	9.868136113547614	
27	sentence	1	The room is	15.409530288931576	
27	sentence	2	small	6.805515846263752	
27	sentence	3		0.0	
27	sentence	4	, but not	20.11210350626861	
27	sentence	5	easy	11.736144250020303	
27	sentence	6	.	7.942720168216919	
28	sentence	1	The room is	15.409530288931576	
28	sentence	2	small	6.805515846263752	
28	sentence	3		0.0	
28	sentence	4	, but not	20.11210350626861	
28	sentence	5	different	13.160600874750568	
28	sentence	6	.	7.146584272218236	
