item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	The rehearsal went	26.25016741124997	
1	sentence	2	well	1.902106276746004	
1	sentence	3		0.0	
1	sentence	4	, but not	20.58557501176429	
1	sentence	5	always	8.11650519726077	
1	sentence	6	.	5.2572585422058005	
2	sentence	1	The rehearsal went	26.25016741124997	
2	sentence	2	well	1.902106276746004	
2	sentence	3		0.0	
2	sentence	4	, but not	20.58557501176429	
2	sentence	5	actually	12.881794983922644	
2	sentence	6	.	5.8714980194153386	
3	sentence	1	The rehearsal went	26.25016741124997	
3	sentence	2	well	1.902106276746004	
3	sentence	3		0.0	
3	sentence	4	, but not	20.58557501176429	
3	sentence	5	sometimes	18.354398506718596	
3	sentence	6	.	3.5103592126094942	
4	sentence	1	The rehearsal went	26.25016741124997	
4	sentence	2	well	1.902106276746004	
4	sentence	3		0.0	
4	sentence	4	, but not	20.58557501176429	
4	sentence	5	finally	17.019615012009407	
4	sentence	6	.	3.457516511235991	
5	sentence	1	The rehearsal went	26.25016741124997	
5	sentence	2	well	1.902106276746004	
5	sentence	3		0.0	
5	sentence	4	, but not	20.58557501176429	
5	sentence	5	absolutely	13.008176090943877	
5	sentence	6	.	5.414504343681477	
6	sentence	1	The rehearsal went	26.25016741124997	
6	sentence	2	well	1.902106276746004	
6	sentence	3		0.0	
6	sentence	4	, but not	20.58557501176429	
6	sentence	5	completely	8.725681505228907	
6	sentence	6	.	4.507611620527145	
7	sentence	1	The rehearsal went	26.25016741124997	
7	sentence	2	well	1.902106276746004	
7	sentence	3		0.0	
7	sentence	4	, but not	20.58557501176429	
7	sentence	5	forever	12.034242466691413	
7	sentence	6	.	3.0575646652790986	
8	sentence	1	The rehearsal went	26.25016741124997	
8	sentence	2	well	1.902106276746004	
8	sentence	3		0.0	
8	sentence	4	, but not	20.58557501176429	
8	sentence	5	seriously	12.931942373191825	
8	sentence	6	.	3.310273908665099	
9	sentence	1	The rehearsal went	26.25016741124997	
9	sentence	2	well	1.902106276746004	
9	sentence	3		0.0	
9	sentence	4	, but not	20.58557501176429	
9	sentence	5	anywhere	13.422629514021523	
9	sentence	6	.	9.496613687708948	
10	sentence	1	The rehearsal went	26.25016741124997	
10	sentence	2	well	1.902106276746004	
10	sentence	3		0.0	
10	sentence	4	, but not	20.58557501176429	
10	sentence	5	quickly	8.078300283267502	
10	sentence	6	.	4.539278098099911	
11	sentence	1	The rehearsal went	26.25016741124997	
11	sentence	2	well	1.902106276746004	
11	sentence	3		0.0	
11	sentence	4	, but not	20.58557501176429	
11	sentence	5	forward	17.130916680202986	
11	sentence	6	.	5.086515542290411	
12	sentence	1	The rehearsal went	26.25016741124997	
12	sentence	2	well	1.902106276746004	
12	sentence	3		0.0	
12	sentence	4	, but not	20.58557501176429	
12	sentence	5	often	11.857515846387205	
12	sentence	6	.	4.3884995322272795	
13	sentence	1	The rehearsal went	26.25016741124997	
13	sentence	2	well	1.902106276746004	
13	sentence	3		0.0	
13	sentence	4	, but not	20.58557501176429	
13	sentence	5	obviously	15.751247089479813	
13	sentence	6	.	5.308965470153005	
14	sentence	1	The rehearsal went	26.25016741124997	
14	sentence	2	well	1.902106276746004	
14	sentence	3		0.0	
14	sentence	4	, but not	20.58557501176429	
14	sentence	5	suddenly	14.224921700990489	
14	sentence	6	.	3.2425113683639455	
15	sentence	1	The rehearsal went	26.25016741124997	
15	sentence	2	well	1.902106276746004	
15	sentence	3		0.0	
15	sentence	4	, but not	20.58557501176429	
15	sentence	5	immediately	9.103878233782257	
15	sentence	6	.	3.5383029537216832	
16	sentence	1	The rehearsal went	26.25016741124997	
16	sentence	2	well	1.902106276746004	
16	sentence	3		0.0	
16	sentence	4	, but not	20.58557501176429	
16	sentence	5	everywhere	14.55953114650917	
16	sentence	6	.	4.520814384668581	
17	sentence	1	The rehearsal went	26.25016741124997	
17	sentence	2	well	1.902106276746004	
17	sentence	3		0.0	
17	sentence	4	, but not	20.58557501176429	
17	sentence	5	otherwise	15.29879788331235	
17	sentence	6	.	3.905406801294383	
18	sentence	1	The rehearsal went	26.25016741124997	
18	sentence	2	well	1.902106276746004	
18	sentence	3		0.0	
18	sentence	4	, but not	20.58557501176429	
18	sentence	5	further	15.81876335062493	
18	sentence	6	.	5.167748451737743	
19	sentence	1	The rehearsal went	26.25016741124997	
19	sentence	2	well	1.902106276746004	
19	sentence	3		0.0	
19	sentence	4	, but not	20.58557501176429	
19	sentence	5	apart	15.44358250983711	
19	sentence	6	.	8.275484583857143	
20	sentence	1	The rehearsal went	26.25016741124997	
20	sentence	2	well	1.902106276746004	
20	sentence	3		0.0	
20	sentence	4	, but not	20.58557501176429	
20	sentence	5	twice	13.531399597594403	
20	sentence	6	.	3.5513578127833774	
21	sentence	1	The rehearsal went	26.25016741124997	
21	sentence	2	well	1.902106276746004	
21	sentence	3		0.0	
21	sentence	4	, but not	20.58557501176429	
21	sentence	5	indeed	17.235526159486195	
21	sentence	6	.	6.777628515461046	
22	sentence	1	The rehearsal went	26.25016741124997	
22	sentence	2	well	1.902106276746004	
22	sentence	3		0.0	
22	sentence	4	, but not	20.58557501176429	
22	sentence	5	double	17.757252729143612	
22	sentence	6	.	7.495189665864133	
23	sentence	1	The rehearsal went	26.25016741124997	
23	sentence	2	well	1.902106276746004	
23	sentence	3		0.0	
23	sentence	4	, but not	20.58557501176429	
23	sentence	5	however	17.69303853489506	
23	sentence	6	.	8.405433298987875	
24	sentence	1	The rehearsal went	26.25016741124997	
24	sentence	2	well	1.902106276746004	
24	sentence	3		0.0	
24	sentence	4	, but not	20.58557501176429	
24	sentence	5	apparently	15.642212840555207	
24	sentence	6	.	6.602112653018912	
25	sentence	1	The rehearsal went	26.25016741124997	
25	sentence	2	well	1.902106276746004	
25	sentence	3		0.0	
25	sentence	4	, but not	20.58557501176429	
25	sentence	5	simply	13.593126234780875	
25	sentence	6	.	7.36056646228295	
26	sentence	1	The rehearsal went	26.25016741124997	
26	sentence	2	well	1.902106276746004	
26	sentence	3		0.0	
26	sentence	4	, but not	20.58557501176429	
26	sentence	5	clearly	14.31108363321155	
26	sentence	6	.	4.963544851235787	
27	sentence	1	The rehearsal went	26.25016741124997	
27	sentence	2	well	1.902106276746004	
27	sentence	3		0.0	
27	sentence	4	, but not	20.58557501176429	
27	sentence	5	hardly	16.557677866959143	
27	sentence	6	.	5.976203121052427	
28	sentence	1	The rehearsal went	26.25016741124997	
28	sentence	2	well	1.902106276746004	
28	sentence	3		0.0	
28	sentence	4	, but not	20.58557501176429	
28	sentence	5	possibly	16.955136652409127	
28	sentence	6	.	7.865768250914864	
29	sentence	1	The rehearsal went	26.25016741124997	
29	sentence	2	well	1.902106276746004	
29	sentence	3		0.0	
29	sentence	4	, but not	20.58557501176429	
29	sentence	5	truly	11.293258655102019	
29	sentence	6	.	4.798213457412447	
30	sentence	1	The rehearsal went	26.25016741124997	
30	sentence	2	well	1.902106276746004	
30	sentence	3		0.0	
30	sentence	4	, but not	20.58557501176429	
30	sentence	5	perfectly	9.68951080477788	
30	sentence	6	.	3.5034805945055854	
31	sentence	1	The rehearsal went	26.25016741124997	
31	sentence	2	well	1.902106276746004	
31	sentence	3		0.0	
31	sentence	4	, but not	20.58557501176429	
31	sentence	5	nowhere	16.921895845650365	
31	sentence	6	.	9.283644131492514	
32	sentence	1	The rehearsal went	26.25016741124997	
32	sentence	2	well	1.902106276746004	
32	sentence	3		0.0	
32	sentence	4	, but not	20.58557501176429	
32	sentence	5	honestly	16.984392965112704	
32	sentence	6	.	3.2347972585421454	
33	sentence	1	The rehearsal went	26.25016741124997	
33	sentence	2	well	1.902106276746004	
33	sentence	3		0.0	
33	sentence	4	, but not	20.58557501176429	
33	sentence	5	surely	18.213268167559367	
33	sentence	6	.	4.9152968383627345	
34	sentence	1	The rehearsal went	26.25016741124997	
34	sentence	2	well	1.902106276746004	
34	sentence	3		0.0	
34	sentence	4	, but not	20.58557501176429	
34	sentence	5	unfortunately	14.665351383654453	
34	sentence	6	.	3.6218961530694567	
35	sentence	1	The rehearsal went	26.25016741124997	
35	sentence	2	well	1.902106276746004	
35	sentence	3		0.0	
35	sentence	4	, but not	20.58557501176429	
35	sentence	5	slowly	15.612075976679215	
35	sentence	6	.	2.749877383926482	
36	sentence	1	The rehearsal went	26.25016741124997	
36	sentence	2	well	1.902106276746004	
36	sentence	3		0.0	
36	sentence	4	, but not	20.58557501176429	
36	sentence	5	easily	9.53376331615652	
36	sentence	6	.	3.7388288772175886	
37	sentence	1	The rehearsal went	26.25016741124997	
37	sentence	2	well	1.902106276746004	
37	sentence	3		0.0	
37	sentence	4	, but not	20.58557501176429	
37	sentence	5	recently	15.021644401793916	
37	sentence	6	.	3.421499216561698	
38	sentence	1	The rehearsal went	26.25016741124997	
38	sentence	2	well	1.902106276746004	
38	sentence	3		0.0	
38	sentence	4	, but not	20.58557501176429	
38	sentence	5	personally	15.387557441492042	
38	sentence	6	.	4.120200061540565	
39	sentence	1	The rehearsal went	26.25016741124997	
39	sentence	2	well	1.902106276746004	
39	sentence	3		0.0	
39	sentence	4	, but not	20.58557501176429	
39	sentence	5	basically	17.858428058854393	
39	sentence	6	.	4.146054901375375	
40	sentence	1	The rehearsal went	26.25016741124997	
40	sentence	2	well	1.902106276746004	
40	sentence	3		0.0	
40	sentence	4	, but not	20.58557501176429	
40	sentence	5	barely	16.598381344904148	
40	sentence	6	.	2.65919230798773	
41	sentence	1	The rehearsal went	26.25016741124997	
41	sentence	2	well	1.902106276746004	
41	sentence	3		0.0	
41	sentence	4	, but not	20.58557501176429	
41	sentence	5	carefully	15.050394397573351	
41	sentence	6	.	2.464236902553271	
42	sentence	1	The rehearsal went	26.25016741124997	
42	sentence	2	well	1.902106276746004	
42	sentence	3		0.0	
42	sentence	4	, but not	20.58557501176429	
42	sentence	5	badly	11.105393062466728	
42	sentence	6	.	3.526170265633916	
43	sentence	1	The rehearsal went	26.25016741124997	
43	sentence	2	well	1.902106276746004	
43	sentence	3		0.0	
43	sentence	4	, but not	20.58557501176429	
43	sentence	5	aside	17.82129081315768	
43	sentence	6	.	9.914392567323675	
44	sentence	1	The rehearsal went	26.25016741124997	
44	sentence	2	well	1.902106276746004	
44	sentence	3		0.0	
44	sentence	4	, but not	20.58557501176429	
44	sentence	5	extremely	12.33056994998924	
44	sentence	6	.	12.203910919004212	
45	sentence	1	The rehearsal went	26.25016741124997	
45	sentence	2	well	1.902106276746004	
45	sentence	3		0.0	
45	sentence	4	, but not	20.58557501176429	
45	sentence	5	properly	10.325642985511651	
45	sentence	6	.	3.3622566967842884	
46	sentence	1	The rehearsal went	26.25016741124997	
46	sentence	2	well	1.902106276746004	
46	sentence	3		0.0	
46	sentence	4	, but not	20.58557501176429	
46	sentence	5	therefore	20.797575789708414	
46	sentence	6	.	5.183932707114537	
47	sentence	1	The rehearsal went	26.25016741124997	
47	sentence	2	well	1.902106276746004	
47	sentence	3		0.0	
47	sentence	4	, but not	20.58557501176429	
47	sentence	5	directly	13.26069615341393	
47	sentence	6	.	5.404321594889192	
48	sentence	1	The rehearsal went	26.25016741124997	
48	sentence	2	well	1.902106276746004	
48	sentence	3		0.0	
48	sentence	4	, but not	20.58557501176429	
48	sentence	5	sometime	18.565994953450538	
48	sentence	6	.	8.673446934508855	
49	sentence	1	The rehearsal went	26.25016741124997	
49	sentence	2	well	1.902106276746004	
49	sentence	3		0.0	
49	sentence	4	, but not	20.58557501176429	
49	sentence	5	literally	13.365349660255758	
49	sentence	6	.	3.0222005607127826	
50	sentence	1	The rehearsal went	26.25016741124997	
50	sentence	2	well	1.902106276746004	
50	sentence	3		0.0	
50	sentence	4	, but not	20.58557501176429	
50	sentence	5	fully	9.333592020886694	
50	sentence	6	.	4.010688732742465	
51	sentence	1	The rehearsal went	26.25016741124997	
51	sentence	2	well	1.902106276746004	
51	sentence	3		0.0	
51	sentence	4	, but not	20.58557501176429	
51	sentence	5	normally	13.392734801717944	
51	sentence	6	.	3.5723472634252778	
52	sentence	1	The rehearsal went	26.25016741124997	
52	sentence	2	well	1.902106276746004	
52	sentence	3		0.0	
52	sentence	4	, but not	20.58557501176429	
52	sentence	5	highly	13.728092715733181	
52	sentence	6	.	4.802137413574533	
53	sentence	1	The rehearsal went	26.25016741124997	
53	sentence	2	well	1.902106276746004	
53	sentence	3		0.0	
53	sentence	4	, but not	20.58557501176429	
53	sentence	5	previously	14.267606419073433	
53	sentence	6	.	4.7610493824222	
54	sentence	1	The rehearsal went	26.25016741124997	
54	sentence	2	well	1.902106276746004	
54	sentence	3		0.0	
54	sentence	4	, but not	20.58557501176429	
54	sentence	5	entirely	8.912776615588333	
54	sentence	6	.	5.165354109272431	
55	sentence	1	The rehearsal went	26.25016741124997	
55	sentence	2	well	1.902106276746004	
55	sentence	3		0.0	
55	sentence	4	, but not	20.58557501176429	
55	sentence	5	naturally	15.138603611270282	
55	sentence	6	.	3.451615786484888	
56	sentence	1	The rehearsal went	26.25016741124997	
56	sentence	2	well	1.902106276746004	
56	sentence	3		0.0	
56	sentence	4	, but not	20.58557501176429	
56	sentence	5	quietly	14.324996341735748	
56	sentence	6	.	3.1601987518344967	
57	sentence	1	The rehearsal went	26.25016741124997	
57	sentence	2	well	1.902106276746004	
57	sentence	3		0.0	
57	sentence	4	, but not	20.58557501176429	
57	sentence	5	terribly	9.126178192223733	
57	sentence	6	.	7.019590219029328	
58	sentence	1	The rehearsal went	26.25016741124997	
58	sentence	2	well	1.902106276746004	
58	sentence	3		0.0	
58	sentence	4	, but not	20.58557501176429	
58	sentence	5	hopefully	18.935320128941783	
58	sentence	6	.	4.5732312569985485	
59	sentence	1	The rehearsal went	26.25016741124997	
59	sentence	2	well	1.902106276746004	
59	sentence	3		0.0	
59	sentence	4	, but not	20.58557501176429	
59	sentence	5	practically	16.192006978833433	
59	sentence	6	.	3.8031197757284256	
60	sentence	1	The rehearsal went	26.25016741124997	
60	sentence	2	well	1.902106276746004	
60	sentence	3		0.0	
60	sentence	4	, but not	20.58557501176429	
60	sentence	5	heavily	16.8901299621054	
60	sentence	6	.	4.206306615348048	
61	sentence	1	The rehearsal went	26.25016741124997	
61	sentence	2	well	1.902106276746004	
61	sentence	3		0.0	
61	sentence	4	, but not	20.58557501176429	
61	sentence	5	particularly	10.109929962048653	
61	sentence	6	.	9.89609498913308	
62	sentence	1	The rehearsal went	26.25016741124997	
62	sentence	2	well	1.902106276746004	
62	sentence	3		0.0	
62	sentence	4	, but not	20.58557501176429	
62	sentence	5	thus	16.933387038450416	
62	sentence	6	.	6.886138561265823	
63	sentence	1	The rehearsal went	26.25016741124997	
63	sentence	2	well	1.902106276746004	
63	sentence	3		0.0	
63	sentence	4	, but not	20.58557501176429	
63	sentence	5	officially	13.806659894092139	
63	sentence	6	.	4.638945139962624	
64	sentence	1	The rehearsal went	26.25016741124997	
64	sentence	2	well	1.902106276746004	
64	sentence	3		0.0	
64	sentence	4	, but not	20.58557501176429	
64	sentence	5	incredibly	12.450479005893204	
64	sentence	6	.	10.73026450440477	
65	sentence	1	The rehearsal went	26.25016741124997	
65	sentence	2	well	1.902106276746004	
65	sentence	3		0.0	
65	sentence	4	, but not	20.58557501176429	
65	sentence	5	nearby	22.660998180778495	
65	sentence	6	.	4.260182932453236	
66	sentence	1	The rehearsal went	26.25016741124997	
66	sentence	2	well	1.902106276746004	
66	sentence	3		0.0	
66	sentence	4	, but not	20.58557501176429	
66	sentence	5	merely	15.45657063963027	
66	sentence	6	.	8.428066903772024	
67	sentence	1	The rehearsal went	26.25016741124997	
67	sentence	2	well	1.902106276746004	
67	sentence	3		0.0	
67	sentence	4	, but not	20.58557501176429	
67	sentence	5	precisely	14.546719126950494	
67	sentence	6	.	4.925900600684332	
68	sentence	1	The rehearsal went	26.25016741124997	
68	sentence	2	well	1.902106276746004	
68	sentence	3		0.0	
68	sentence	4	, but not	20.58557501176429	
68	sentence	5	slightly	17.200942512189496	
68	sentence	6	.	3.717719382685386	
69	sentence	1	The rehearsal went	26.25016741124997	
69	sentence	2	well	1.902106276746004	
69	sentence	3		0.0	
69	sentence	4	, but not	20.58557501176429	
69	sentence	5	meanwhile	21.5638534337255	
69	sentence	6	.	4.1368287200871885	
70	sentence	1	The rehearsal went	26.25016741124997	
70	sentence	2	well	1.902106276746004	
70	sentence	3		0.0	
70	sentence	4	, but not	20.58557501176429	
70	sentence	5	technically	15.21717078962924	
70	sentence	6	.	4.553339055669152	
71	sentence	1	The rehearsal went	26.25016741124997	
71	sentence	2	well	1.902106276746004	
71	sentence	3		0.0	
71	sentence	4	, but not	20.58557501176429	
71	sentence	5	nicely	13.124364818144377	
71	sentence	6	.	3.2166444897435755	
72	sentence	1	The rehearsal went	26.25016741124997	
72	sentence	2	well	1.902106276746004	
72	sentence	3		0.0	
72	sentence	4	, but not	20.58557501176429	
72	sentence	5	safely	15.788582459190318	
72	sentence	6	.	2.8425007043404578	
73	sentence	1	The rehearsal went	26.25016741124997	
73	sentence	2	well	1.902106276746004	
73	sentence	3		0.0	
73	sentence	4	, but not	20.58557501176429	
73	sentence	5	happily	14.414218189280959	
73	sentence	6	.	3.6428525830423917	
74	sentence	1	The rehearsal went	26.25016741124997	
74	sentence	2	well	1.902106276746004	
74	sentence	3		0.0	
74	sentence	4	, but not	20.58557501176429	
74	sentence	5	constantly	17.53035670579091	
74	sentence	6	.	2.8122193750377416	
75	sentence	1	The rehearsal went	26.25016741124997	
75	sentence	2	well	1.902106276746004	
75	sentence	3		0.0	
75	sentence	4	, but not	20.58557501176429	
75	sentence	5	differently	18.76799339240313	
75	sentence	6	.	4.24596547067171	
76	sentence	1	The rehearsal went	26.25016741124997	
76	sentence	2	well	1.902106276746004	
76	sentence	3		0.0	
76	sentence	4	, but not	20.58557501176429	
76	sentence	5	deadly	18.49288719236057	
