item_number	condition_name	region_number	content	metric_value	oovs
1	sentence	1	He is	4.918527704441844	
1	sentence	2	intelligent	12.428448716248282	
1	sentence	3		0.0	
1	sentence	4	, but not	19.753363175007372	
1	sentence	5	good	5.996111832716306	
1	sentence	6	.	6.536158682274232	
2	sentence	1	He is	4.918527704441844	
2	sentence	2	intelligent	12.428448716248282	
2	sentence	3		0.0	
2	sentence	4	, but not	19.753363175007372	
2	sentence	5	little	16.43990002006467	
2	sentence	6	.	4.890192186850989	
3	sentence	1	He is	4.918527704441844	
3	sentence	2	intelligent	12.428448716248282	
3	sentence	3		0.0	
3	sentence	4	, but not	19.753363175007372	
3	sentence	5	other	12.43256666884054	
3	sentence	6	.	7.248833461601004	
4	sentence	1	He is	4.918527704441844	
4	sentence	2	intelligent	12.428448716248282	
4	sentence	3		0.0	
4	sentence	4	, but not	19.753363175007372	
4	sentence	5	great	7.419963078515533	
4	sentence	6	.	4.332063769311951	
5	sentence	1	He is	4.918527704441844	
5	sentence	2	intelligent	12.428448716248282	
5	sentence	3		0.0	
5	sentence	4	, but not	19.753363175007372	
5	sentence	5	last	13.39327001172743	
5	sentence	6	.	5.652577863479053	
6	sentence	1	He is	4.918527704441844	
6	sentence	2	intelligent	12.428448716248282	
6	sentence	3		0.0	
6	sentence	4	, but not	19.753363175007372	
6	sentence	5	new	13.38454154823084	
6	sentence	6	.	6.017467262439243	
7	sentence	1	He is	4.918527704441844	
7	sentence	2	intelligent	12.428448716248282	
7	sentence	3		0.0	
7	sentence	4	, but not	19.753363175007372	
7	sentence	5	old	12.656876073124263	
7	sentence	6	.	5.068308083008867	
8	sentence	1	He is	4.918527704441844	
8	sentence	2	intelligent	12.428448716248282	
8	sentence	3		0.0	
8	sentence	4	, but not	19.753363175007372	
8	sentence	5	big	10.474297909611428	
8	sentence	6	.	6.095514365261992	
9	sentence	1	He is	4.918527704441844	
9	sentence	2	intelligent	12.428448716248282	
9	sentence	3		0.0	
9	sentence	4	, but not	19.753363175007372	
9	sentence	5	nice	9.284409110323551	
9	sentence	6	.	3.5772157483059024	
10	sentence	1	He is	4.918527704441844	
